date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:31	180886/180886	---M-Z	200	added ('OK')	text/html	etag:W/%22c722a164b9bbd7cf3b183f5948fcfd4b%22	https://fr.y8.com/games/plume_and_the_forgotten_letter	C:/Mes%20Sites%20Web/official/fr.y8.com/games/plume_and_the_forgotten_letter.html	(from )
00:42:32	221/221	---M-Z	200	added ('OK')	text/plain	etag:W/%2226ecbdeed4f59786f4c1cf80d24a515b%22	https://fr.y8.com/robots.txt		(from )
00:42:33	541/541	---M--	200	added ('OK')	image/png	etag:%221663012105%22	https://img-hws.y8.com/mobile_launch_icons/y8-192.png	C:/Mes%20Sites%20Web/official/img-hws.y8.com/mobile_launch_icons/y8-192.png	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:33	23/23	---M-Z	200	added ('OK')	application/javascript	etag:%221659014514%22	https://img-hws.y8.com/assets/ads_block-bdb05adcd9e98c0e0b45359346e83554ef184373947e18de19e5e06b2fad4980.js	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/ads_block-bdb05adcd9e98c0e0b45359346e83554ef184373947e18de19e5e06b2fad4980.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:34	82233/82233	---M--	200	added ('OK')	text/javascript	etag:%221343%20/%20288%20of%201000%20/%20last-modified:%201663970755%22	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/Mes%20Sites%20Web/official/securepubads.g.doubleclick.net/tag/js/gpt.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:34	279742/279742	---M-Z	200	added ('OK')	application/javascript	etag:%221659014514%22	https://img-hws.y8.com/assets/ads/gam_prebid-0d27de4cf6e44f80ebf9b8a11646c1d6762395d54ba17af39a52ae318abaa8e8.js	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/ads/gam_prebid-0d27de4cf6e44f80ebf9b8a11646c1d6762395d54ba17af39a52ae318abaa8e8.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:34	1029/1029	---M-Z	200	added ('OK')	text/css	etag:%221663840133%22	https://img-hws.y8.com/packs/css/y8/application-4350128e.css	C:/Mes%20Sites%20Web/official/img-hws.y8.com/packs/css/y8/application-4350128e.css	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:34	494100/494100	---M-Z	200	added ('OK')	application/javascript	etag:%221663750361%22	https://img-hws.y8.com/packs/js/y8/application-9b04b8190c31cb467b23.js	C:/Mes%20Sites%20Web/official/img-hws.y8.com/packs/js/y8/application-9b04b8190c31cb467b23.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:35	358844/358844	---M-Z	200	added ('OK')	text/css	etag:%221663596976%22	https://img-hws.y8.com/assets/y8.com/latin-c0ca1e6f54c76dcec62ecdcc23df3507f959f4232fd2ad43fdc84cf68386c14a.css	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/y8.com/latin-c0ca1e6f54c76dcec62ecdcc23df3507f959f4232fd2ad43fdc84cf68386c14a.css	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:35	80624/80624	---M-Z	200	added ('OK')	application/javascript	etag:%221662731359%22	https://img-hws.y8.com/assets/y8-28815cc6b0a65f6746cdbad4ea1a75c9a61f683204e04da1f72a2cabd8635533.js	C:/Mes%20Sites%20Web/official/img-hws.y8.com/assets/y8-28815cc6b0a65f6746cdbad4ea1a75c9a61f683204e04da1f72a2cabd8635533.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:35	86065/86065	---M-Z	200	added ('OK')	application/javascript	etag:%221663750361%22	https://img-hws.y8.com/packs/js/controllers/items/show-8eb29b67e138fe883b16.js	C:/Mes%20Sites%20Web/official/img-hws.y8.com/packs/js/controllers/items/show-8eb29b67e138fe883b16.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:36	124/124	---M-Z	200	added ('OK')	text/javascript	etag:W/%226b08fc949ea9949283c51ec7ed3006a8%22	https://fr.y8.com/games/plume_and_the_forgotten_letter.js	C:/Mes%20Sites%20Web/official/fr.y8.com/games/plume_and_the_forgotten_letter.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
00:42:36	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/Mes%20Sites%20Web/official/s7.addthis.com/js/300/addthis_widget.js	(from https://fr.y8.com/games/plume_and_the_forgotten_letter)
